gene	mid	chrom	start	end
DDX11L1	13139	1	11867	14411
OR4F5	69549.5	1	69089	70010
RP5-857K21.5	563573.5	1	562755	564392
RP5-857K21.4	651151	1	646720	655582
RP11-206L10.2	707121.5	1	700235	714008
RP11-206L10.9	722116	1	721178	723054
AL669831.1	738834.5	1	738530	739139
RP11-206L10.8	740900	1	736257	745543
FAM87B	753982.5	1	752749	755216
LINC00115	762244	1	761584	762904
LINC01128	778907	1	762986	794828
RP11-54O7.16	845785	1	840212	851358
AL645608.1	863854.5	1	861262	866447
SAMD11	870536.5	1	861116	879957
NOC2L	887127	1	879582	894672
KLHL17	898531	1	895965	901097
PLEKHN1	906182.5	1	901875	910490
C1orf170	914038	1	910577	917499
HES4	934947	1	934340	935554
ISG15	949361.5	1	948801	949922
AGRN	973499.5	1	955501	991498
C1orf159	1034340.5	1	1017201	1051480
RP11-465B22.5	1075916.5	1	1072395	1079438
TTLL10	1121299	1	1109281	1133317
TNFRSF18	1140419.5	1	1138886	1141953
TNFRSF4	1148109	1	1146704	1149514
SDF4	1159834.5	1	1152286	1167383
B3GALT6	1169025	1	1167627	1170423
FAM132A	1179967.5	1	1177831	1182104
UBE2J2	1199885.5	1	1190556	1209215
SCNN1D	1221607.5	1	1215814	1227401
ACAP3	1235577	1	1227754	1243400
PUSL1	1245502	1	1243945	1247059
CPSF3L	1253487.5	1	1246984	1259991
GLTPD1	1262212	1	1260145	1264279
TAS1R3	1268690	1	1266692	1270688
DVL1	1277574	1	1270654	1284494
MXRA8	1290993	1	1288069	1293917
AURKAIP1	1309823.5	1	1309108	1310539
CCNL2	1328283.5	1	1321873	1334694
RP4-758J18.2	1335684.5	1	1334900	1336469
MRPL20	1339990.5	1	1337286	1342695
ANKRD65	1355227	1	1353802	1356652
VWA1	1374656.5	1	1371049	1378264
ATAD3C	1395303.5	1	1385067	1405540
ATAD3B	1419365.5	1	1407147	1431584
ATAD3A	1458810	1	1447553	1470067
TMEM240	1473145.5	1	1470552	1475739
SSU72	1493651	1	1477051	1510251
MIB2	1558404	1	1550821	1565987
MMP23B	1568752	1	1567472	1570032
CDK11B	1580017.5	1	1571098	1588937
SLC35E2B	1608511	1	1592937	1624085
CDK11A	1645041.5	1	1634318	1655765
SLC35E2	1670556	1	1663679	1677433
NADK	1696293.5	1	1682676	1709911
GNB1	1769612	1	1716727	1822497
CALML6	1847499.5	1	1846264	1848735
TMEM52	1849871	1	1849028	1850714
C1orf222	1927358	1	1919561	1935155
GABRD	1956486	1	1950778	1962194
PRKCZ	2060865	1	2004899	2116831
AL590822.2	2122208	1	2121235	2123181
C1orf86	2125707	1	2120985	2130429
SKI	2200846	1	2160132	2241560
MORN1	2287919	1	2252690	2323148
RER1	2330077.5	1	2323270	2336885
PEX10	2340102.5	1	2336234	2343971
PLCH2	2417931.5	1	2398896	2436967
PANK4	2449005.5	1	2439970	2458041
HES5	2460934	1	2460182	2461686
TNFRSF14	2491536.5	1	2487803	2495270
FAM213B	2520560.5	1	2518212	2522909
MMEL1	2543255.5	1	2522080	2564431
TTC34	2639521.5	1	2572805	2706238
ACTRT2	2938755.5	1	2938044	2939467
LINC00982	2978264.5	1	2976177	2980352
PRDM16	3170480	1	2985773	3355187
ARHGEF16	3384333.5	1	3370988	3397679
MEGF6	3467274.5	1	3406488	3528061
TPRG1L	3544128.5	1	3541564	3546693
WRAP73	3556984	1	3547329	3566639
TP73	3610924.5	1	3569082	3652767
TP73-AS1	3658217	1	3652546	3663888
CCDC27	3678585	1	3668960	3688210
SMIM1	3690949	1	3689350	3692548
LRRC47	3704926	1	3696782	3713070
CEP104	3751204	1	3728643	3773765
DFFB	3787919	1	3773843	3801995
C1orf174	3811269	1	3805687	3816851
RP1-37J18.2	4637544.5	1	4631606	4643483
AJAP1	4783849.5	1	4715103	4852596
NPHP4	5987704.5	1	5922876	6052533
AL035406.1	6101014.5	1	6100628	6101401
KCNAB2	6133610	1	6105979	6161241
CHD5	6201018	1	6161851	6240185
RPL22	6252376	1	6245078	6259674
RNF207	6273797.5	1	6266234	6281361
ICMT	6288626.5	1	6281251	6296002
HES3	6304945	1	6304250	6305640
GPR153	6314220.5	1	6307404	6321037
ACOT7	6385103	1	6324331	6445875
HES2	6477635.5	1	6475290	6479981
ESPN	6502926	1	6484846	6521006
TNFRSF25	6523723	1	6521209	6526237
PLEKHG5	6542360.5	1	6527563	6557158
NOL9	6598001	1	6581405	6614597
TAS1R1	6627529	1	6615239	6639819
ZBTB48	6644724	1	6640106	6649342
KLHL21	6656856.5	1	6650782	6662931
PHF13	6678919	1	6673743	6684095
THAP3	6689275.5	1	6684924	6693627
DNAJC11	6728106	1	6694226	6761986
CAMTA1	7337575	1	6845382	7829768
VAMP3	7836410.5	1	7831327	7841494
PER3	7875000	1	7844761	7905239
UTS2	7910658.5	1	7907824	7913493
TNFRSF9	7990416.5	1	7979905	8000928
PARK7	8033658.5	1	8021750	8045567
ERRFI1	8079073.5	1	8071777	8086370
RP11-431K24.1	8134780	1	8086796	8182764
RP11-431K24.3	8272001	1	8268730	8275272
SLC45A1	8391055.5	1	8377884	8404227
RERE	8644990.5	1	8412455	8877526
ENO1	8929905	1	8921059	8938751
CA6	9020224.5	1	9005944	9034505
SLC2A7	9074881.5	1	9063357	9086406
SLC2A5	9112470.5	1	9095164	9129777
GPR157	9174796.5	1	9160362	9189231
H6PD	9313115	1	9294832	9331398
SPSB1	9391265	1	9352937	9429593
SLC25A33	9622389	1	9599539	9645239
TMEM201	9661943.5	1	9648978	9674909
C1orf200	9713656	1	9712666	9714646
PIK3CD	9750390	1	9711801	9788979
CLSTN1	9836834	1	9789082	9884586
CTNNBIP1	9939327.5	1	9908332	9970323
LZIC	9996192	1	9988995	10003389
NMNAT1	10024521	1	10003484	10045558
RBP7	10066676	1	10057272	10076080
UBE4B	10167475.5	1	10093652	10241299
KIF1B	10354429	1	10270861	10437997
PGD	10469669	1	10459135	10480203
APITD1	10501184.5	1	10490157	10512212
APITD1-CORT	10501184.5	1	10490157	10512212
CORT	10510867.5	1	10509774	10511961
DFFA	10524581	1	10516577	10532585
PEX14	10612879.5	1	10534942	10690817
CASZ1	10776683	1	10696659	10856707
C1orf127	11024312	1	11006528	11042096
